id,backend_id,title,level,slug,paid
107,107,Binary Tree Level Order Traversal II,2,binary-tree-level-order-traversal-ii,0
108,108,Convert Sorted Array to Binary Search Tree,1,convert-sorted-array-to-binary-search-tree,0
109,109,Convert Sorted List to Binary Search Tree,2,convert-sorted-list-to-binary-search-tree,0
110,110,Balanced Binary Tree,1,balanced-binary-tree,0
111,111,Minimum Depth of Binary Tree,1,minimum-depth-of-binary-tree,0
112,112,Path Sum,1,path-sum,0
113,113,Path Sum II,2,path-sum-ii,0
114,114,Flatten Binary Tree to Linked List,2,flatten-binary-tree-to-linked-list,0
115,115,Distinct Subsequences,3,distinct-subsequences,0
116,116,Populating Next Right Pointers in Each Node,2,populating-next-right-pointers-in-each-node,0
117,117,Populating Next Right Pointers in Each Node II,2,populating-next-right-pointers-in-each-node-ii,0
118,118,Pascal's Triangle,1,pascals-triangle,0
119,119,Pascal's Triangle II,1,pascals-triangle-ii,0
120,120,Triangle,2,triangle,0
121,121,Best Time to Buy and Sell Stock,1,best-time-to-buy-and-sell-stock,0
122,122,Best Time to Buy and Sell Stock II,2,best-time-to-buy-and-sell-stock-ii,0
123,123,Best Time to Buy and Sell Stock III,3,best-time-to-buy-and-sell-stock-iii,0
124,124,Binary Tree Maximum Path Sum,3,binary-tree-maximum-path-sum,0
125,125,Valid Palindrome,1,valid-palindrome,0
126,126,Word Ladder II,3,word-ladder-ii,0
127,127,Word Ladder,3,word-ladder,0
128,128,Longest Consecutive Sequence,2,longest-consecutive-sequence,0
129,129,Sum Root to Leaf Numbers,2,sum-root-to-leaf-numbers,0
130,130,Surrounded Regions,2,surrounded-regions,0
131,131,Palindrome Partitioning,2,palindrome-partitioning,0
132,132,Palindrome Partitioning II,3,palindrome-partitioning-ii,0
133,133,Clone Graph,2,clone-graph,0
134,134,Gas Station,2,gas-station,0
135,135,Candy,3,candy,0
136,136,Single Number,1,single-number,0
137,137,Single Number II,2,single-number-ii,0
138,138,Copy List with Random Pointer,2,copy-list-with-random-pointer,0
139,139,Word Break,2,word-break,0
140,140,Word Break II,3,word-break-ii,0
141,141,Linked List Cycle,1,linked-list-cycle,0
142,142,Linked List Cycle II,2,linked-list-cycle-ii,0
143,143,Reorder List,2,reorder-list,0
144,144,Binary Tree Preorder Traversal,1,binary-tree-preorder-traversal,0
145,145,Binary Tree Postorder Traversal,1,binary-tree-postorder-traversal,0
146,146,LRU Cache,2,lru-cache,0
147,147,Insertion Sort List,2,insertion-sort-list,0
148,148,Sort List,2,sort-list,0
149,149,Max Points on a Line,3,max-points-on-a-line,0
150,150,Evaluate Reverse Polish Notation,2,evaluate-reverse-polish-notation,0
151,151,Reverse Words in a String,2,reverse-words-in-a-string,0
152,152,Maximum Product Subarray,2,maximum-product-subarray,0
153,153,Find Minimum in Rotated Sorted Array,2,find-minimum-in-rotated-sorted-array,0
154,154,Find Minimum in Rotated Sorted Array II,3,find-minimum-in-rotated-sorted-array-ii,0
155,155,Min Stack,2,min-stack,0
156,156,Binary Tree Upside Down,2,binary-tree-upside-down,1
157,157,Read N Characters Given Read4,1,read-n-characters-given-read4,1
158,158,Read N Characters Given read4 II - Call Multiple Times,3,read-n-characters-given-read4-ii-call-multiple-times,1
159,159,Longest Substring with At Most Two Distinct Characters,2,longest-substring-with-at-most-two-distinct-characters,1
160,160,Intersection of Two Linked Lists,1,intersection-of-two-linked-lists,0
161,161,One Edit Distance,2,one-edit-distance,1
162,162,Find Peak Element,2,find-peak-element,0
163,163,Missing Ranges,1,missing-ranges,1
164,164,Maximum Gap,2,maximum-gap,0
165,165,Compare Version Numbers,2,compare-version-numbers,0
166,166,Fraction to Recurring Decimal,2,fraction-to-recurring-decimal,0
167,167,Two Sum II - Input Array Is Sorted,2,two-sum-ii-input-array-is-sorted,0
168,168,Excel Sheet Column Title,1,excel-sheet-column-title,0
169,169,Majority Element,1,majority-element,0
170,170,Two Sum III - Data structure design,1,two-sum-iii-data-structure-design,1
171,171,Excel Sheet Column Number,1,excel-sheet-column-number,0
172,172,Factorial Trailing Zeroes,2,factorial-trailing-zeroes,0
173,173,Binary Search Tree Iterator,2,binary-search-tree-iterator,0
174,174,Dungeon Game,3,dungeon-game,0
175,175,Combine Two Tables,1,combine-two-tables,0
176,176,Second Highest Salary,2,second-highest-salary,0
177,177,Nth Highest Salary,2,nth-highest-salary,0
178,178,Rank Scores,2,rank-scores,0
179,179,Largest Number,2,largest-number,0
180,180,Consecutive Numbers,2,consecutive-numbers,0
181,181,Employees Earning More Than Their Managers,1,employees-earning-more-than-their-managers,0
182,182,Duplicate Emails,1,duplicate-emails,0
183,183,Customers Who Never Order,1,customers-who-never-order,0
184,184,Department Highest Salary,2,department-highest-salary,0
185,185,Department Top Three Salaries,3,department-top-three-salaries,0
186,186,Reverse Words in a String II,2,reverse-words-in-a-string-ii,1
187,187,Repeated DNA Sequences,2,repeated-dna-sequences,0
188,188,Best Time to Buy and Sell Stock IV,3,best-time-to-buy-and-sell-stock-iv,0
189,189,Rotate Array,2,rotate-array,0
190,190,Reverse Bits,1,reverse-bits,0
191,191,Number of 1 Bits,1,number-of-1-bits,0
192,192,Word Frequency,2,word-frequency,0
193,193,Valid Phone Numbers,1,valid-phone-numbers,0
194,194,Transpose File,2,transpose-file,0
195,195,Tenth Line,1,tenth-line,0
196,196,Delete Duplicate Emails,1,delete-duplicate-emails,0
197,197,Rising Temperature,1,rising-temperature,0
198,198,House Robber,2,house-robber,0
199,199,Binary Tree Right Side View,2,binary-tree-right-side-view,0
200,200,Number of Islands,2,number-of-islands,0
201,201,Bitwise AND of Numbers Range,2,bitwise-and-of-numbers-range,0
202,202,Happy Number,1,happy-number,0
203,203,Remove Linked List Elements,1,remove-linked-list-elements,0
204,204,Count Primes,2,count-primes,0
205,205,Isomorphic Strings,1,isomorphic-strings,0
206,206,Reverse Linked List,1,reverse-linked-list,0
207,207,Course Schedule,2,course-schedule,0
208,208,Implement Trie (Prefix Tree),2,implement-trie-prefix-tree,0
209,209,Minimum Size Subarray Sum,2,minimum-size-subarray-sum,0
210,210,Course Schedule II,2,course-schedule-ii,0
211,211,Design Add and Search Words Data Structure,2,design-add-and-search-words-data-structure,0
212,212,Word Search II,3,word-search-ii,0
213,213,House Robber II,2,house-robber-ii,0
214,214,Shortest Palindrome,3,shortest-palindrome,0
215,215,Kth Largest Element in an Array,2,kth-largest-element-in-an-array,0
216,216,Combination Sum III,2,combination-sum-iii,0
217,217,Contains Duplicate,1,contains-duplicate,0
218,218,The Skyline Problem,3,the-skyline-problem,0
219,219,Contains Duplicate II,1,contains-duplicate-ii,0
220,220,Contains Duplicate III,3,contains-duplicate-iii,0
221,221,Maximal Square,2,maximal-square,0
222,222,Count Complete Tree Nodes,1,count-complete-tree-nodes,0
223,223,Rectangle Area,2,rectangle-area,0
224,224,Basic Calculator,3,basic-calculator,0
225,225,Implement Stack using Queues,1,implement-stack-using-queues,0
226,226,Invert Binary Tree,1,invert-binary-tree,0
227,227,Basic Calculator II,2,basic-calculator-ii,0
228,228,Summary Ranges,1,summary-ranges,0
229,229,Majority Element II,2,majority-element-ii,0
230,230,Kth Smallest Element in a BST,2,kth-smallest-element-in-a-bst,0
231,231,Power of Two,1,power-of-two,0
232,232,Implement Queue using Stacks,1,implement-queue-using-stacks,0
233,233,Number of Digit One,3,number-of-digit-one,0
234,234,Palindrome Linked List,1,palindrome-linked-list,0
235,235,Lowest Common Ancestor of a Binary Search Tree,2,lowest-common-ancestor-of-a-binary-search-tree,0
236,236,Lowest Common Ancestor of a Binary Tree,2,lowest-common-ancestor-of-a-binary-tree,0
237,237,Delete Node in a Linked List,2,delete-node-in-a-linked-list,0
238,238,Product of Array Except Self,2,product-of-array-except-self,0
239,239,Sliding Window Maximum,3,sliding-window-maximum,0
240,240,Search a 2D Matrix II,2,search-a-2d-matrix-ii,0
241,241,Different Ways to Add Parentheses,2,different-ways-to-add-parentheses,0
242,242,Valid Anagram,1,valid-anagram,0
243,243,Shortest Word Distance,1,shortest-word-distance,1
244,244,Shortest Word Distance II,2,shortest-word-distance-ii,1
245,245,Shortest Word Distance III,2,shortest-word-distance-iii,1
246,246,Strobogrammatic Number,1,strobogrammatic-number,1
247,247,Strobogrammatic Number II,2,strobogrammatic-number-ii,1
248,248,Strobogrammatic Number III,3,strobogrammatic-number-iii,1
249,249,Group Shifted Strings,2,group-shifted-strings,1
250,250,Count Univalue Subtrees,2,count-univalue-subtrees,1
251,251,Flatten 2D Vector,2,flatten-2d-vector,1
252,252,Meeting Rooms,1,meeting-rooms,1
253,253,Meeting Rooms II,2,meeting-rooms-ii,1
254,254,Factor Combinations,2,factor-combinations,1
255,255,Verify Preorder Sequence in Binary Search Tree,2,verify-preorder-sequence-in-binary-search-tree,1
256,256,Paint House,2,paint-house,1
257,257,Binary Tree Paths,1,binary-tree-paths,0
258,258,Add Digits,1,add-digits,0
259,259,3Sum Smaller,2,3sum-smaller,1
260,260,Single Number III,2,single-number-iii,0
261,261,Graph Valid Tree,2,graph-valid-tree,1
262,262,Trips and Users,3,trips-and-users,0
263,263,Ugly Number,1,ugly-number,0
264,264,Ugly Number II,2,ugly-number-ii,0
265,265,Paint House II,3,paint-house-ii,1
266,266,Palindrome Permutation,1,palindrome-permutation,1
267,267,Palindrome Permutation II,2,palindrome-permutation-ii,1
268,268,Missing Number,1,missing-number,0
269,269,Alien Dictionary,3,alien-dictionary,1
270,270,Closest Binary Search Tree Value,1,closest-binary-search-tree-value,1
271,271,Encode and Decode Strings,2,encode-and-decode-strings,1
272,272,Closest Binary Search Tree Value II,3,closest-binary-search-tree-value-ii,1
273,273,Integer to English Words,3,integer-to-english-words,0
274,274,H-Index,2,h-index,0
275,275,H-Index II,2,h-index-ii,0
276,276,Paint Fence,2,paint-fence,1
277,277,Find the Celebrity,2,find-the-celebrity,1
278,278,First Bad Version,1,first-bad-version,0
279,279,Perfect Squares,2,perfect-squares,0
280,280,Wiggle Sort,2,wiggle-sort,1
281,281,Zigzag Iterator,2,zigzag-iterator,1
282,282,Expression Add Operators,3,expression-add-operators,0
283,283,Move Zeroes,1,move-zeroes,0
284,284,Peeking Iterator,2,peeking-iterator,0
285,285,Inorder Successor in BST,2,inorder-successor-in-bst,1
286,286,Walls and Gates,2,walls-and-gates,1
287,287,Find the Duplicate Number,2,find-the-duplicate-number,0
288,288,Unique Word Abbreviation,2,unique-word-abbreviation,1
289,289,Game of Life,2,game-of-life,0
290,290,Word Pattern,1,word-pattern,0
291,291,Word Pattern II,2,word-pattern-ii,1
292,292,Nim Game,1,nim-game,0
293,293,Flip Game,1,flip-game,1
294,294,Flip Game II,2,flip-game-ii,1
295,295,Find Median from Data Stream,3,find-median-from-data-stream,0
296,296,Best Meeting Point,3,best-meeting-point,1
297,297,Serialize and Deserialize Binary Tree,3,serialize-and-deserialize-binary-tree,0
298,298,Binary Tree Longest Consecutive Sequence,2,binary-tree-longest-consecutive-sequence,1
299,299,Bulls and Cows,2,bulls-and-cows,0
300,300,Longest Increasing Subsequence,2,longest-increasing-subsequence,0
301,301,Remove Invalid Parentheses,3,remove-invalid-parentheses,0
302,302,Smallest Rectangle Enclosing Black Pixels,3,smallest-rectangle-enclosing-black-pixels,1
303,303,Range Sum Query - Immutable,1,range-sum-query-immutable,0
304,304,Range Sum Query 2D - Immutable,2,range-sum-query-2d-immutable,0
305,305,Number of Islands II,3,number-of-islands-ii,1
306,306,Additive Number,2,additive-number,0
307,307,Range Sum Query - Mutable,2,range-sum-query-mutable,0
308,308,Range Sum Query 2D - Mutable,3,range-sum-query-2d-mutable,1
309,309,Best Time to Buy and Sell Stock with Cooldown,2,best-time-to-buy-and-sell-stock-with-cooldown,0
310,310,Minimum Height Trees,2,minimum-height-trees,0
311,311,Sparse Matrix Multiplication,2,sparse-matrix-multiplication,1
312,312,Burst Balloons,3,burst-balloons,0
313,313,Super Ugly Number,2,super-ugly-number,0
314,314,Binary Tree Vertical Order Traversal,2,binary-tree-vertical-order-traversal,1
315,315,Count of Smaller Numbers After Self,3,count-of-smaller-numbers-after-self,0
316,316,Remove Duplicate Letters,2,remove-duplicate-letters,0
317,317,Shortest Distance from All Buildings,3,shortest-distance-from-all-buildings,1
318,318,Maximum Product of Word Lengths,2,maximum-product-of-word-lengths,0
319,319,Bulb Switcher,2,bulb-switcher,0
320,320,Generalized Abbreviation,2,generalized-abbreviation,1
321,321,Create Maximum Number,3,create-maximum-number,0
322,322,Coin Change,2,coin-change,0
323,323,Number of Connected Components in an Undirected Graph,2,number-of-connected-components-in-an-undirected-graph,1
324,324,Wiggle Sort II,2,wiggle-sort-ii,0
325,325,Maximum Size Subarray Sum Equals k,2,maximum-size-subarray-sum-equals-k,1
326,326,Power of Three,1,power-of-three,0
327,327,Count of Range Sum,3,count-of-range-sum,0
328,328,Odd Even Linked List,2,odd-even-linked-list,0
329,329,Longest Increasing Path in a Matrix,3,longest-increasing-path-in-a-matrix,0
330,330,Patching Array,3,patching-array,0
331,331,Verify Preorder Serialization of a Binary Tree,2,verify-preorder-serialization-of-a-binary-tree,0
332,332,Reconstruct Itinerary,3,reconstruct-itinerary,0
333,333,Largest BST Subtree,2,largest-bst-subtree,1
334,334,Increasing Triplet Subsequence,2,increasing-triplet-subsequence,0
335,335,Self Crossing,3,self-crossing,0
336,336,Palindrome Pairs,3,palindrome-pairs,0
337,337,House Robber III,2,house-robber-iii,0
338,338,Counting Bits,1,counting-bits,0
339,339,Nested List Weight Sum,2,nested-list-weight-sum,1
340,340,Longest Substring with At Most K Distinct Characters,2,longest-substring-with-at-most-k-distinct-characters,1
341,341,Flatten Nested List Iterator,2,flatten-nested-list-iterator,0
342,342,Power of Four,1,power-of-four,0
343,343,Integer Break,2,integer-break,0
344,344,Reverse String,1,reverse-string,0
345,345,Reverse Vowels of a String,1,reverse-vowels-of-a-string,0
346,346,Moving Average from Data Stream,1,moving-average-from-data-stream,1
347,347,Top K Frequent Elements,2,top-k-frequent-elements,0
348,348,Design Tic-Tac-Toe,2,design-tic-tac-toe,1
349,349,Intersection of Two Arrays,1,intersection-of-two-arrays,0
350,350,Intersection of Two Arrays II,1,intersection-of-two-arrays-ii,0
351,351,Android Unlock Patterns,2,android-unlock-patterns,1
352,352,Data Stream as Disjoint Intervals,3,data-stream-as-disjoint-intervals,0
353,353,Design Snake Game,2,design-snake-game,1
354,354,Russian Doll Envelopes,3,russian-doll-envelopes,0
355,355,Design Twitter,2,design-twitter,0
356,356,Line Reflection,2,line-reflection,1
357,357,Count Numbers with Unique Digits,2,count-numbers-with-unique-digits,0
358,358,Rearrange String k Distance Apart,3,rearrange-string-k-distance-apart,1
359,359,Logger Rate Limiter,1,logger-rate-limiter,1
360,360,Sort Transformed Array,2,sort-transformed-array,1
361,361,Bomb Enemy,2,bomb-enemy,1
362,362,Design Hit Counter,2,design-hit-counter,1
363,363,Max Sum of Rectangle No Larger Than K,3,max-sum-of-rectangle-no-larger-than-k,0
364,364,Nested List Weight Sum II,2,nested-list-weight-sum-ii,1
365,365,Water and Jug Problem,2,water-and-jug-problem,0
366,366,Find Leaves of Binary Tree,2,find-leaves-of-binary-tree,1
367,367,Valid Perfect Square,1,valid-perfect-square,0
368,368,Largest Divisible Subset,2,largest-divisible-subset,0
369,369,Plus One Linked List,2,plus-one-linked-list,1
370,370,Range Addition,2,range-addition,1
371,371,Sum of Two Integers,2,sum-of-two-integers,0
372,372,Super Pow,2,super-pow,0
373,373,Find K Pairs with Smallest Sums,2,find-k-pairs-with-smallest-sums,0
374,374,Guess Number Higher or Lower,1,guess-number-higher-or-lower,0
375,375,Guess Number Higher or Lower II,2,guess-number-higher-or-lower-ii,0
376,376,Wiggle Subsequence,2,wiggle-subsequence,0
377,377,Combination Sum IV,2,combination-sum-iv,0
378,378,Kth Smallest Element in a Sorted Matrix,2,kth-smallest-element-in-a-sorted-matrix,0
379,379,Design Phone Directory,2,design-phone-directory,1
380,380,Insert Delete GetRandom O(1),2,insert-delete-getrandom-o1,0
381,381,Insert Delete GetRandom O(1) - Duplicates allowed,3,insert-delete-getrandom-o1-duplicates-allowed,0
382,382,Linked List Random Node,2,linked-list-random-node,0
383,383,Ransom Note,1,ransom-note,0
384,384,Shuffle an Array,2,shuffle-an-array,0
385,385,Mini Parser,2,mini-parser,0
386,386,Lexicographical Numbers,2,lexicographical-numbers,0
387,387,First Unique Character in a String,1,first-unique-character-in-a-string,0
388,388,Longest Absolute File Path,2,longest-absolute-file-path,0
389,389,Find the Difference,1,find-the-difference,0
390,390,Elimination Game,2,elimination-game,0
391,391,Perfect Rectangle,3,perfect-rectangle,0
392,392,Is Subsequence,1,is-subsequence,0
393,393,UTF-8 Validation,2,utf-8-validation,0
394,394,Decode String,2,decode-string,0
395,395,Longest Substring with At Least K Repeating Characters,2,longest-substring-with-at-least-k-repeating-characters,0
396,396,Rotate Function,2,rotate-function,0
397,397,Integer Replacement,2,integer-replacement,0
398,398,Random Pick Index,2,random-pick-index,0
399,399,Evaluate Division,2,evaluate-division,0
400,400,Nth Digit,2,nth-digit,0
401,401,Binary Watch,1,binary-watch,0
402,402,Remove K Digits,2,remove-k-digits,0
403,403,Frog Jump,3,frog-jump,0
404,404,Sum of Left Leaves,1,sum-of-left-leaves,0
405,405,Convert a Number to Hexadecimal,1,convert-a-number-to-hexadecimal,0
406,406,Queue Reconstruction by Height,2,queue-reconstruction-by-height,0
407,407,Trapping Rain Water II,3,trapping-rain-water-ii,0
408,408,Valid Word Abbreviation,1,valid-word-abbreviation,1
409,409,Longest Palindrome,1,longest-palindrome,0
410,410,Split Array Largest Sum,3,split-array-largest-sum,0
411,411,Minimum Unique Word Abbreviation,3,minimum-unique-word-abbreviation,1
412,412,Fizz Buzz,1,fizz-buzz,0
413,413,Arithmetic Slices,2,arithmetic-slices,0
414,414,Third Maximum Number,1,third-maximum-number,0
415,415,Add Strings,1,add-strings,0
416,416,Partition Equal Subset Sum,2,partition-equal-subset-sum,0
417,417,Pacific Atlantic Water Flow,2,pacific-atlantic-water-flow,0
418,418,Sentence Screen Fitting,2,sentence-screen-fitting,1
419,419,Battleships in a Board,2,battleships-in-a-board,0
420,420,Strong Password Checker,3,strong-password-checker,0
421,421,Maximum XOR of Two Numbers in an Array,2,maximum-xor-of-two-numbers-in-an-array,0
422,422,Valid Word Square,1,valid-word-square,1
423,423,Reconstruct Original Digits from English,2,reconstruct-original-digits-from-english,0
424,424,Longest Repeating Character Replacement,2,longest-repeating-character-replacement,0
425,425,Word Squares,3,word-squares,1
426,758,Convert Binary Search Tree to Sorted Doubly Linked List,2,convert-binary-search-tree-to-sorted-doubly-linked-list,1
427,772,Construct Quad Tree,2,construct-quad-tree,0
428,765,Serialize and Deserialize N-ary Tree,3,serialize-and-deserialize-n-ary-tree,1
429,764,N-ary Tree Level Order Traversal,2,n-ary-tree-level-order-traversal,0
430,766,Flatten a Multilevel Doubly Linked List,2,flatten-a-multilevel-doubly-linked-list,0
431,771,Encode N-ary Tree to Binary Tree,3,encode-n-ary-tree-to-binary-tree,1
432,432,All O`one Data Structure,3,all-oone-data-structure,0
433,433,Minimum Genetic Mutation,2,minimum-genetic-mutation,0
434,434,Number of Segments in a String,1,number-of-segments-in-a-string,0
435,435,Non-overlapping Intervals,2,non-overlapping-intervals,0
436,436,Find Right Interval,2,find-right-interval,0
437,437,Path Sum III,2,path-sum-iii,0
438,438,Find All Anagrams in a String,2,find-all-anagrams-in-a-string,0
439,439,Ternary Expression Parser,2,ternary-expression-parser,1
440,440,K-th Smallest in Lexicographical Order,3,k-th-smallest-in-lexicographical-order,0
441,441,Arranging Coins,1,arranging-coins,0
442,442,Find All Duplicates in an Array,2,find-all-duplicates-in-an-array,0
443,443,String Compression,2,string-compression,0
444,444,Sequence Reconstruction,2,sequence-reconstruction,1
445,445,Add Two Numbers II,2,add-two-numbers-ii,0
446,446,Arithmetic Slices II - Subsequence,3,arithmetic-slices-ii-subsequence,0
447,447,Number of Boomerangs,2,number-of-boomerangs,0
448,448,Find All Numbers Disappeared in an Array,1,find-all-numbers-disappeared-in-an-array,0
449,449,Serialize and Deserialize BST,2,serialize-and-deserialize-bst,0
450,450,Delete Node in a BST,2,delete-node-in-a-bst,0
451,451,Sort Characters By Frequency,2,sort-characters-by-frequency,0
452,452,Minimum Number of Arrows to Burst Balloons,2,minimum-number-of-arrows-to-burst-balloons,0
453,453,Minimum Moves to Equal Array Elements,2,minimum-moves-to-equal-array-elements,0
454,454,4Sum II,2,4sum-ii,0
455,455,Assign Cookies,1,assign-cookies,0
456,456,132 Pattern,2,132-pattern,0
457,457,Circular Array Loop,2,circular-array-loop,0
458,458,Poor Pigs,3,poor-pigs,0
459,459,Repeated Substring Pattern,1,repeated-substring-pattern,0
460,460,LFU Cache,3,lfu-cache,0
461,461,Hamming Distance,1,hamming-distance,0
462,462,Minimum Moves to Equal Array Elements II,2,minimum-moves-to-equal-array-elements-ii,0
463,463,Island Perimeter,1,island-perimeter,0
464,464,Can I Win,2,can-i-win,0
465,465,Optimal Account Balancing,3,optimal-account-balancing,1
466,466,Count The Repetitions,3,count-the-repetitions,0
467,467,Unique Substrings in Wraparound String,2,unique-substrings-in-wraparound-string,0
468,468,Validate IP Address,2,validate-ip-address,0
469,469,Convex Polygon,2,convex-polygon,1
470,903,Implement Rand10() Using Rand7(),2,implement-rand10-using-rand7,0
471,471,Encode String with Shortest Length,3,encode-string-with-shortest-length,1
472,472,Concatenated Words,3,concatenated-words,0
473,473,Matchsticks to Square,2,matchsticks-to-square,0
474,474,Ones and Zeroes,2,ones-and-zeroes,0
475,475,Heaters,2,heaters,0
476,476,Number Complement,1,number-complement,0
477,477,Total Hamming Distance,2,total-hamming-distance,0
478,915,Generate Random Point in a Circle,2,generate-random-point-in-a-circle,0
479,479,Largest Palindrome Product,3,largest-palindrome-product,0
480,480,Sliding Window Median,3,sliding-window-median,0
481,481,Magical String,2,magical-string,0
482,482,License Key Formatting,1,license-key-formatting,0
483,483,Smallest Good Base,3,smallest-good-base,0
